p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.41E-07,0.541131383,0.534,0.34,0.008718249,1,DLEU1
2.41E-07,0.737042019,0.324,0.177,0.008721882,1,HMGCL
2.43E-07,0.452878282,0.656,0.437,0.008780174,1,ISOC2
2.46E-07,0.373087507,0.847,0.684,0.008882235,1,ECHS1
2.54E-07,0.49633111,0.55,0.378,0.009161751,1,SPPL2A
2.55E-07,0.592919608,0.496,0.32,0.00921979,1,CORO1B
2.56E-07,0.5254721,0.626,0.419,0.009264912,1,NDUFA7.1
2.61E-07,0.398846486,0.824,0.681,0.00943956,1,MRPL33
2.64E-07,0.551751126,0.66,0.483,0.009542298,1,USP46
2.73E-07,1.102767564,0.317,0.177,0.009860563,1,TAP2.1
2.76E-07,0.269465926,1,1,0.009956391,1,TMSB4X
2.76E-07,0.735177862,0.466,0.305,0.009984067,1,SMNDC1
2.78E-07,0.459628401,0.782,0.607,0.010059746,1,A1BG
2.81E-07,0.460438636,0.573,0.38,0.010143291,1,BDNF
2.84E-07,0.43102487,1,0.986,0.010266288,1,TMSB10
3.00E-07,0.695688645,0.412,0.24,0.010850206,1,RP11-11N9.4
3.04E-07,0.445236504,0.565,0.384,0.010990272,1,NANS
3.06E-07,0.601128266,0.344,0.186,0.011052461,1,RDH14
3.08E-07,0.757459902,0.416,0.25,0.011124081,1,ACVR1
3.10E-07,0.406788793,0.992,0.679,0.011218301,1,RPS26
3.16E-07,0.725568589,0.401,0.235,0.011435563,1,VGLL3
3.17E-07,0.582125621,0.576,0.398,0.011462217,1,LTBP2
3.19E-07,0.433888991,0.794,0.633,0.011513831,1,PSMC1
3.24E-07,0.389945223,0.844,0.743,0.011716502,1,C9orf3
3.29E-07,0.421851561,0.79,0.628,0.011877524,1,PPP4C
3.33E-07,0.276284579,0.546,0.348,0.01203988,1,NSMCE1
3.37E-07,0.547615914,0.397,0.233,0.012192543,1,MORN2
3.41E-07,0.587965023,0.408,0.233,0.01232733,1,ATP5SL
3.41E-07,0.345978336,1,0.94,0.012335528,1,OST4
3.42E-07,0.753515733,0.313,0.164,0.012346688,1,CDR2
3.54E-07,0.852666858,0.282,0.142,0.012797791,1,CLN3.1
3.61E-07,0.368734689,0.668,0.491,0.013057469,1,RBMS3
