"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","4/27","467/18986",0.00856531049250535,6.02299944484099,4.1475561488186,0.00404845303427587,0.0589705335283375,0.0383418517342249,"RRM2/AURKB/CDC25C/TTK",4
"GO:0051784","GO:0051784","negative regulation of nuclear division","2/27","67/18986",0.0298507462686567,20.9906025428413,6.1857685588185,0.00406765460168952,0.0589705335283375,0.0383418517342249,"AURKB/TTK",2
"GO:0043583","GO:0043583","ear development","3/27","229/18986",0.0131004366812227,9.21203299369238,4.71808984849228,0.00409089152658544,0.0589705335283375,0.0383418517342249,"SOX9/EYA1/FREM2",3
"GO:0016925","GO:0016925","protein sumoylation","2/27","68/18986",0.0294117647058824,20.681917211329,6.13569433494801,0.00418725462678434,0.0589705335283375,0.0383418517342249,"EYA1/CAPN3",2
"GO:0060675","GO:0060675","ureteric bud morphogenesis","2/27","68/18986",0.0294117647058824,20.681917211329,6.13569433494801,0.00418725462678434,0.0589705335283375,0.0383418517342249,"SOX9/EYA1",2
"GO:0048705","GO:0048705","skeletal system morphogenesis","3/27","232/18986",0.0129310344827586,9.09291187739464,4.68038218467664,0.0042424844264991,0.0589705335283375,0.0383418517342249,"SOX9/EYA1/CSGALNACT1",3
"GO:0072171","GO:0072171","mesonephric tubule morphogenesis","2/27","69/18986",0.0289855072463768,20.38217928073,6.08668027359469,0.00430847931734983,0.0590443714898787,0.0383898601886916,"SOX9/EYA1",2
"GO:0000819","GO:0000819","sister chromatid segregation","3/27","235/18986",0.0127659574468085,8.97683215130024,4.64335231928101,0.00439746988266616,0.0590640878026034,0.0384026794713741,"AURKB/TTK/TPX2",3
"GO:0051445","GO:0051445","regulation of meiotic cell cycle","2/27","70/18986",0.0285714285714286,20.0910052910053,6.03868860222414,0.00443132416196305,0.0590640878026034,0.0384026794713741,"CDC25C/TTK",2
"GO:0071260","GO:0071260","cellular response to mechanical stimulus","2/27","74/18986",0.027027027027027,19.005005005005,5.85625320927326,0.00493881515746483,0.0640722337904994,0.0416589089718074,"SOX9/MAG",2
"GO:0048663","GO:0048663","neuron fate commitment","2/27","75/18986",0.0266666666666667,18.7516049382716,5.81286822782209,0.00506969340580395,0.0640722337904994,0.0416589089718074,"SOX9/EYA1",2
"GO:0071496","GO:0071496","cellular response to external stimulus","2/27","75/18986",0.0266666666666667,18.7516049382716,5.81286822782209,0.00506969340580395,0.0640722337904994,0.0416589089718074,"SOX9/MAG",2
"GO:0002009","GO:0002009","morphogenesis of an epithelium","4/27","500/18986",0.008,5.62548148148148,3.9554868396919,0.00515670958021845,0.0640722337904994,0.0416589089718074,"SOX9/EYA1/FREM2/CA2",4
"GO:0045661","GO:0045661","regulation of myoblast differentiation","2/27","76/18986",0.0263157894736842,18.504873294347,5.7703143486794,0.00520216492235299,0.0640722337904994,0.0416589089718074,"SOX9/CAPN3",2
"GO:0090307","GO:0090307","mitotic spindle assembly","2/27","76/18986",0.0263157894736842,18.504873294347,5.7703143486794,0.00520216492235299,0.0640722337904994,0.0416589089718074,"AURKB/TPX2",2
"GO:1905818","GO:1905818","regulation of chromosome separation","2/27","77/18986",0.025974025974026,18.2645502645503,5.72856467772206,0.0053362252564564,0.064901839681651,0.0421983076201355,"AURKB/TTK",2
"GO:0072078","GO:0072078","nephron tubule morphogenesis","2/27","78/18986",0.0256410256410256,18.0303893637227,5.68759352806485,0.00547186996608304,0.065729993543195,0.0427367621782444,"SOX9/EYA1",2
"GO:0045685","GO:0045685","regulation of glial cell differentiation","2/27","80/18986",0.025,17.5796296296296,5.60788967278098,0.00574789478681857,0.0673819473201744,0.0438108404169685,"MAG/CNTN2",2
"GO:0072088","GO:0072088","nephron epithelium morphogenesis","2/27","80/18986",0.025,17.5796296296296,5.60788967278098,0.00574789478681857,0.0673819473201744,0.0438108404169685,"SOX9/EYA1",2
"GO:0061333","GO:0061333","renal tubule morphogenesis","2/27","82/18986",0.024390243902439,17.1508581752484,5.53101893078418,0.00603020402026209,0.0690281001378237,0.0448811469495668,"SOX9/EYA1",2
"GO:0072028","GO:0072028","nephron morphogenesis","2/27","82/18986",0.024390243902439,17.1508581752484,5.53101893078418,0.00603020402026209,0.0690281001378237,0.0448811469495668,"SOX9/EYA1",2
"GO:0010001","GO:0010001","glial cell differentiation","3/27","267/18986",0.0112359550561798,7.90095713691219,4.28551587289737,0.00626753110082202,0.0706684580844442,0.0459476857345713,"SOX9/MAG/CNTN2",3
"GO:0051304","GO:0051304","chromosome separation","2/27","84/18986",0.0238095238095238,16.7425044091711,5.45681281902781,0.00631876243920519,0.0706684580844442,0.0459476857345713,"AURKB/TTK",2
"GO:0090068","GO:0090068","positive regulation of cell cycle process","3/27","274/18986",0.0109489051094891,7.69910786699108,4.21513624951851,0.00673092174825821,0.0744225779665368,0.0483885642428611,"RRM2/AURKB/CDC25C",3
"GO:0001656","GO:0001656","metanephros development","2/27","92/18986",0.0217391304347826,15.2866344605475,5.18371791948965,0.00753478819883902,0.0805642738183556,0.0523818126952256,"SOX9/EYA1",2
"GO:1901879","GO:1901879","regulation of protein depolymerization","2/27","92/18986",0.0217391304347826,15.2866344605475,5.18371791948965,0.00753478819883902,0.0805642738183556,0.0523818126952256,"AURKB/TPX2",2
"GO:2000243","GO:2000243","positive regulation of reproductive process","2/27","92/18986",0.0217391304347826,15.2866344605475,5.18371791948965,0.00753478819883902,0.0805642738183556,0.0523818126952256,"SOX9/CDC25C",2
"GO:0030071","GO:0030071","regulation of mitotic metaphase/anaphase transition","2/27","93/18986",0.021505376344086,15.1222620469932,5.15198686774707,0.00769367131914761,0.0813689368862024,0.0529049938536352,"AURKB/TTK",2
"GO:1902099","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","2/27","96/18986",0.0208333333333333,14.6496913580247,5.05966704201925,0.00817939028514155,0.0851979304943662,0.055394554256628,"AURKB/TTK",2
"GO:0007091","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","2/27","97/18986",0.0206185567010309,14.4986636120657,5.02981055819349,0.00834430551153049,0.0851979304943662,0.055394554256628,"AURKB/TTK",2
"GO:0060993","GO:0060993","kidney morphogenesis","2/27","99/18986",0.0202020202020202,14.2057613168724,4.97140357364551,0.00867862367347774,0.0851979304943662,0.055394554256628,"SOX9/EYA1",2
"GO:0001657","GO:0001657","ureteric bud development","2/27","100/18986",0.02,14.0637037037037,4.94283141808913,0.0088480180890603,0.0851979304943662,0.055394554256628,"SOX9/EYA1",2
"GO:0031110","GO:0031110","regulation of microtubule polymerization or depolymerization","2/27","100/18986",0.02,14.0637037037037,4.94283141808913,0.0088480180890603,0.0851979304943662,0.055394554256628,"AURKB/TPX2",2
"GO:0044784","GO:0044784","metaphase/anaphase transition of cell cycle","2/27","100/18986",0.02,14.0637037037037,4.94283141808913,0.0088480180890603,0.0851979304943662,0.055394554256628,"AURKB/TTK",2
"GO:0060349","GO:0060349","bone morphogenesis","2/27","100/18986",0.02,14.0637037037037,4.94283141808913,0.0088480180890603,0.0851979304943662,0.055394554256628,"SOX9/CSGALNACT1",2
"GO:0072080","GO:0072080","nephron tubule development","2/27","101/18986",0.0198019801980198,13.9244591125779,4.91466634202553,0.00901889706158244,0.0851979304943662,0.055394554256628,"SOX9/EYA1",2
"GO:0072163","GO:0072163","mesonephric epithelium development","2/27","101/18986",0.0198019801980198,13.9244591125779,4.91466634202553,0.00901889706158244,0.0851979304943662,0.055394554256628,"SOX9/EYA1",2
"GO:0072164","GO:0072164","mesonephric tubule development","2/27","101/18986",0.0198019801980198,13.9244591125779,4.91466634202553,0.00901889706158244,0.0851979304943662,0.055394554256628,"SOX9/EYA1",2
"GO:2001251","GO:2001251","negative regulation of chromosome organization","2/27","101/18986",0.0198019801980198,13.9244591125779,4.91466634202553,0.00901889706158244,0.0851979304943662,0.055394554256628,"AURKB/TTK",2
"GO:0051310","GO:0051310","metaphase chromosome alignment","2/27","103/18986",0.0194174757281553,13.6540812657317,4.85951810526051,0.00936509172879457,0.0876176370395876,0.0569678150709062,"AURKB/TTK",2
"GO:0001823","GO:0001823","mesonephros development","2/27","105/18986",0.019047619047619,13.3940035273369,4.80588349503083,0.00971717386050816,0.0883627118343406,0.0574522527315829,"SOX9/EYA1",2
"GO:0061326","GO:0061326","renal tubule development","2/27","105/18986",0.019047619047619,13.3940035273369,4.80588349503083,0.00971717386050816,0.0883627118343406,0.0574522527315829,"SOX9/EYA1",2
"GO:1901992","GO:1901992","positive regulation of mitotic cell cycle phase transition","2/27","105/18986",0.019047619047619,13.3940035273369,4.80588349503083,0.00971717386050816,0.0883627118343406,0.0574522527315829,"RRM2/CDC25C",2
"GO:0010389","GO:0010389","regulation of G2/M transition of mitotic cell cycle","2/27","107/18986",0.0186915887850467,13.1436483212184,4.75369207821324,0.0100751097741263,0.090721302947961,0.0589857771101039,"AURKB/CDC25C",2
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","2/27","108/18986",0.0185185185185185,13.0219478737997,4.72811680505951,0.0102562624093275,0.090721302947961,0.0589857771101039,"AURKB/TTK",2
"GO:0042472","GO:0042472","inner ear morphogenesis","2/27","108/18986",0.0185185185185185,13.0219478737997,4.72811680505951,0.0102562624093275,0.090721302947961,0.0589857771101039,"SOX9/EYA1",2
"GO:0001822","GO:0001822","kidney development","3/27","322/18986",0.0093167701863354,6.55141476880607,3.79147955920153,0.0104585326343092,0.0915319295509936,0.0595128356792851,"SOX9/EYA1/FREM2",3
"GO:0001708","GO:0001708","cell fate specification","2/27","110/18986",0.0181818181818182,12.7851851851852,4.67796791672316,0.0106229161286364,0.0915319295509936,0.0595128356792851,"SOX9/EYA1",2
"GO:0098813","GO:0098813","nuclear chromosome segregation","3/27","324/18986",0.00925925925925926,6.51097393689986,3.77573268283409,0.0106352043805083,0.0915319295509936,0.0595128356792851,"AURKB/TTK/TPX2",3
